hd,jcd,rno,lane,regno,racer_id,racer_name,p1_win
20240301,11,8,4,4462,4462,夏山 亮平,0.03101163084217981
20240301,11,8,5,4898,4898,菊地 敬介,0.01512756101136102
20240301,11,8,6,5302,5302,秋末 秦悟,0.002262280374755683
20240301,11,9,1,3629,3629,浅見 昌克,0.24589915327213666
20240301,11,9,2,4593,4593,小坂 宗司,0.12440671321628258
20240301,11,9,3,3808,3808,秋田 健太郎,0.056220076619376565
20240301,11,9,4,4793,4793,金子 萌,0.06350098693909804
20240301,11,9,5,3315,3315,広瀬 聖仁,0.0025068554925774607
20240301,11,9,6,5325,5325,澁川 夏,0.0010325588492867677
20240301,15,1,1,3243,3243,佐野 隆仁,0.06829208022341866
20240301,15,1,2,3832,3832,下田 哲也,0.07430553823544836
20240301,15,1,3,4396,4396,大田 直弥,0.04169317593969097
20240301,15,1,4,5271,5271,杉山 太陽,0.0016427410830000277
20240301,15,1,5,5053,5053,山口 広樹,0.0019804388795906605
20240301,15,1,6,4010,4010,越智 照浩,0.00047560876112531477
20240301,15,2,1,4226,4226,村田 浩司,0.005350595654406764
20240301,15,2,2,4241,4241,大串 重幸,0.002571967986242265
20240301,15,2,3,3558,3558,山本 浩次,0.0899855653827307
20240301,15,2,4,4009,4009,小林 一樹,0.09757733932073169
20240301,15,2,5,3637,3637,齋藤 和政,0.030783523925398286
20240301,15,2,6,4423,4423,坂口 貴彦,0.002825025370593424
20240301,15,3,1,3523,3523,寳田 亮治,0.3239874363952953
20240301,15,3,2,5036,5036,福田 翔吾,0.086356832168672
20240301,15,3,3,3948,3948,大町 利克,0.0856112476583049
20240301,15,3,4,4910,4910,中村 泰平,0.006200254404317348
20240301,15,3,5,3514,3514,山一 鉄也,0.014437794884630137
20240301,15,3,6,4425,4425,大井 清貴,0.07605660667801593
20240301,15,4,1,3891,3891,谷口 健一,0.1979377220832227
20240301,15,4,2,4526,4526,池田 雄祐,0.15792976257375899
20240301,15,4,3,4549,4549,小林 文彦,0.09321627714030814
