hd,jcd,rno,lane,regno,racer_id,motor_rate3,st_rank,decision4,tenji_rank,power_outer,power_inner,tenji_sec,wind_speed_m,power_lane,course_first_rate,kimarite_sashi,tenji_st,dash_attack_flag,kimarite_nuki,course_3rd_rate,wave_height_cm,kimarite_makuri_sashi,boat_rate3,boat_rate2,is_strong_wind,kimarite_makuri,racer_name,motor_rate2,is_crosswind,course_avg_st,outer_over_inner
20240328,07,1,6,3982,3982,53.04,4,NIGE,3,143165589.91633335,13.524000000000001,6.79,4.0,12.546999999999999,0.0,0.0,0.0005,0,0.0,10.0,2.0,0.0,49.08,28.22,0,0.0,福田 理,33.15,0,0.18,143165576.39233336
20240328,07,2,1,3474,3474,52.9,5,NIGE,2,143165589.36499998,14.960333333333333,6.73,4.0,14.619,16.1,0.0,0.11,0,0.0,64.5,2.0,0.0,43.64,30.3,0,0.0,松瀬 弘美,38.71,0,0.16,143165574.40466663
20240328,07,2,2,4983,4983,61.93,2,NIGE,1,143165589.36499998,14.960333333333333,6.65,4.0,19.151999999999997,18.1,3.0,0.0004,0,2.0,63.6,2.0,0.0,45.25,30.73,0,3.0,前田 篤哉,48.3,0,0.17,143165574.40466663
20240328,07,2,3,4917,4917,42.57,4,NIGE,5,143165589.36499998,14.960333333333333,6.81,4.0,11.109999999999998,5.7,1.0,0.09,0,1.0,25.7,2.0,0.0,60.8,42.61,0,0.0,岩橋 裕馬,27.7,0,0.15,143165574.40466663
20240328,07,2,4,4718,4718,40.7,3,NIGE,2,143165589.36499998,14.960333333333333,6.73,4.0,11.770999999999999,14.0,2.0,0.03,1,0.0,64.0,2.0,2.0,44.37,28.48,0,3.0,北川 太一,27.33,0,0.15,143165574.40466663
20240328,07,2,5,4281,4281,47.59,1,NIGE,3,143165589.36499998,14.960333333333333,6.76,4.0,13.939,15.1,1.0,0.0001,0,0.0,45.4,2.0,3.0,38.35,27.07,0,1.0,大澤 大夢,33.69,0,0.18,143165574.40466663
20240328,07,2,6,5245,5245,53.77,6,NIGE,4,143165589.36499998,14.960333333333333,6.78,4.0,429496742.385,0.0,0.0,0.13,0,0.0,9.0,2.0,0.0,47.64,31.94,0,0.0,倉富 大誠,37.19,0,0.15,143165574.40466663
20240328,07,3,1,4979,4979,64.57,5,MAKURI_SASHI,5,143165590.04766667,14.579666666666666,6.8,5.0,15.942,35.7,0.0,0.03,0,2.0,75.0,3.0,0.0,42.44,25.58,0,0.0,中野 夢斗,44.0,0,0.17,143165575.468
20240328,07,3,2,4919,4919,55.61,2,MAKURI_SASHI,2,143165590.04766667,14.579666666666666,6.72,5.0,15.453,17.2,4.0,0.0007000000000000001,0,0.0,72.4,3.0,0.0,51.72,37.36,0,1.0,吉田 翔悟,40.11,0,0.18,143165575.468
20240328,07,3,3,4446,4446,42.86,3,MAKURI_SASHI,1,143165590.04766667,14.579666666666666,6.68,5.0,12.344,23.0,0.0,0.0008,0,0.0,66.6,3.0,4.0,49.35,33.12,0,5.0,和田 兼輔,27.98,0,0.16,143165575.468
20240328,07,3,4,5014,5014,45.81,4,MAKURI_SASHI,4,143165590.04766667,14.579666666666666,6.77,5.0,11.706999999999999,10.0,2.0,0.01,0,0.0,45.0,3.0,1.0,41.06,26.49,0,1.0,梶山 涼斗,28.49,0,0.15,143165575.468
20240328,07,3,5,4189,4189,64.33,6,MAKURI_SASHI,3,143165590.04766667,14.579666666666666,6.75,5.0,429496746.732,5.8,1.0,0.11,0,0.0,41.1,3.0,1.0,55.79,35.26,0,1.0,川上 剛,44.44,0,0.16,143165575.468
20240328,07,3,6,5305,5305,51.58,1,MAKURI_SASHI,5,143165590.04766667,14.579666666666666,6.8,5.0,11.703999999999999,0.0,0.0,0.0003,0,0.0,0.0,3.0,0.0,48.35,34.07,0,0.0,伊藤 栞,35.26,0,0.23,143165575.468
20240328,07,4,1,3930,3930,63.47,1,MAKURI_SASHI,3,143165589.67866668,15.421666666666665,6.7,3.0,16.711,67.7,0.0,0.0007000000000000001,0,1.0,77.4,2.0,0.0,52.26,38.06,0,0.0,岸本 隆,44.31,0,0.13,143165574.25700003
