hd,jcd,rno,lane,racer_id,st,tenji_st,course_avg_st,st_rank,power_lane
20240226,07,6,5,5022,0.4,0.1,0.16,4,13.080999999999998
20240226,07,6,6,3946,0.25,0.02,0.18,3,14.899999999999999
20240226,07,7,1,4150,0.14,0.0005,0.14,2,15.783
20240226,07,7,2,4014,0.2,0.0002,0.21,1,12.97
20240226,07,7,3,4258,0.19,0.06,0.16,5,14.936999999999998
20240226,07,7,4,4856,0.23,0.01,0.12,3,13.328
20240226,07,7,5,4422,0.31,0.01,0.2,3,12.788
20240226,07,7,6,4836,0.32,0.02,0.16,4,12.813999999999998
20240226,07,8,1,4025,0.07,0.22,0.16,5,15.230999999999998
20240226,07,8,2,5041,0.09,0.16,0.14,4,16.627000000000002
20240226,07,8,3,4780,0.12,0.47,0.19,6,429496741.917
20240226,07,8,4,4055,0.13,0.0004,0.14,3,14.846
20240226,07,8,5,4940,0.13,0.0003,0.18,2,14.058
20240226,07,8,6,4537,0.24,0.0001,0.19,1,14.046999999999999
20240226,07,9,1,3963,0.2,0.0003,0.16,1,13.873
20240226,07,9,2,4897,0.25,0.2,0.19,6,429496746.219
20240226,07,9,3,4569,0.29,0.0021,0.19,4,16.336
20240226,07,9,4,3842,0.26,0.0014000000000000002,0.2,3,13.541
20240226,07,9,5,3869,0.26,0.0013,0.21,2,14.748
20240226,07,9,6,4956,0.23,0.0023,0.19,5,14.196
20240226,08,10,1,4847,0.14,0.0003,0.15,2,15.366
20240226,08,10,2,3539,0.16,0.0,0.19,1,18.052
20240226,08,10,3,4219,0.18,0.0003,0.18,2,16.253999999999998
20240226,08,10,4,4604,0.16,0.11,0.15,5,16.284
20240226,08,10,5,4702,0.13,0.03,0.14,4,16.468
20240226,08,10,6,5137,0.24,0.0007000000000000001,0.17,3,20.875999999999998
20240226,08,11,1,4042,0.13,0.0003,0.14,1,19.026999999999997
20240226,08,11,2,3554,0.18,0.1,0.18,4,11.584
20240226,08,11,3,4271,0.15,0.03,0.16,2,13.899000000000001
20240226,08,11,4,4262,0.15,0.08,0.14,3,6.854
20240226,08,11,5,4592,0.18,0.11,0.18,5,15.084
20240226,08,11,6,4438,0.19,0.08,0.17,3,12.742999999999999
20240226,08,12,1,4362,0.12,0.1,0.12,2,22.338
20240226,08,12,2,4134,0.11,0.17,0.17,5,9.837
20240226,08,12,3,3965,0.16,0.2,0.16,6,429496737.252
20240226,08,12,4,3654,0.13,0.12,0.14,4,16.735
20240226,08,12,5,4401,0.12,0.11,0.15,3,18.811999999999998
20240226,08,12,6,5255,0.07,0.09,0.18,1,12.763
20240226,08,1,1,4565,0.18,0.25,0.17,5,12.357
20240226,08,1,2,4438,0.09,0.0001,0.14,1,12.943
20240226,08,1,3,5211,0.23,0.51,0.18,6,429496739.304
20240226,08,1,4,3439,0.14,0.22,0.16,4,14.076999999999998
20240226,08,1,5,3539,0.13,0.02,0.24,2,17.952
20240226,08,1,6,4750,0.23,0.08,0.19,3,12.694999999999999
20240226,08,2,1,3965,0.14,0.0003,0.15,1,8.152
20240226,08,2,2,4528,0.17,0.07,0.15,5,12.423
20240226,08,2,3,5175,0.37,0.18,0.16,6,429496748.616
20240226,08,2,4,3554,0.24,0.01,0.2,3,11.684
20240226,08,2,5,4219,0.32,0.04,0.2,4,16.054
20240226,08,2,6,5135,0.44,0.0004,0.21,2,11.739
20240226,08,3,1,4128,0.16,0.0003,0.14,1,16.104999999999997
20240226,08,3,2,4078,0.2,0.0008,0.18,3,11.935999999999998
20240226,08,3,3,4042,0.15,0.0007000000000000001,0.17,2,18.927
20240226,08,3,4,4779,0.2,0.05,0.16,4,8.179
20240226,08,3,5,5255,0.23,0.18,0.15,6,429496741.863
20240226,08,3,6,3621,0.43,0.16,0.2,5,11.945999999999998
20240226,08,4,1,4702,0.2,0.09,0.15,2,16.668
20240226,08,4,2,5185,0.26,0.21,0.19,4,12.355
20240226,08,4,3,4527,0.26,0.21,0.17,4,11.142999999999999
20240226,08,4,4,5288,0.48,0.3,0.0,5,7.944
20240226,08,4,5,4262,0.2,0.11,0.14,3,6.854
20240226,08,4,6,3863,0.21,0.01,0.19,1,15.895
20240226,08,5,1,4401,0.2,,0.15,1,19.011999999999997
20240226,08,5,2,5137,0.33,,0.17,1,21.075999999999997
20240226,08,5,3,4750,0.23,,0.18,1,12.895
20240226,08,5,4,3602,0.16,,0.17,1,10.582
20240226,08,5,5,4547,0.1,,0.16,1,11.809
20240226,08,5,6,4146,0.12,,0.17,1,16.168
20240226,08,6,1,4271,0.16,0.18,0.18,3,13.799
20240226,08,6,2,3654,0.17,0.12,0.17,2,16.935
