hd,jcd,rno,lane,regno,st_pred_sec,st_rel_sec,st_rank_in_race,dash_advantage,wall_weak_flag,proba_nige,proba_sashi,proba_makuri,proba_makuri_sashi,proba_win,wind_speed_m,kimarite_sashi,is_crosswind,boat_rate3,is_strong_wind,racer_id,dash_attack_flag,kimarite_makuri,power_lane,power_outer,course_avg_st,outer_over_inner,wave_height_cm,power_inner,decision4,motor_rate2,racer_name,kimarite_nuki,tenji_st,boat_rate2,motor_rate3,course_first_rate,kimarite_makuri_sashi,st_rank,tenji_sec,course_3rd_rate,tenji_rank
20240301,02,8,2,4790,0.1095439429065316,0.0,1,-0.07702917079013716,0,0.0,0.4793681925710308,0.4623910100287151,0.05823691502076584,0.08442827462417002,7.0,4.0,1,64.66,1,4790,0,3.0,16.413999999999998,143165591.10233334,0.14,143165577.37833333,6.0,13.723999999999998,MAKURI,42.14,柳内 敬太,0.0,0.13,49.14,61.43,17.5,0.0,1,6.93,57.5,4
20240301,02,8,3,4439,0.10975108203317945,0.00020713912664784007,2,-0.07702917079013716,0,0.0,0.4757244777431921,0.4208042418236865,0.10346587342511866,0.047300075823500924,7.0,0.0,1,41.51,1,4439,0,0.0,15.190999999999999,143165591.10233334,0.16,143165577.37833333,6.0,13.723999999999998,MAKURI,40.61,近藤 友宝,0.0,0.15,28.3,63.64,3.2,0.0,3,6.96,32.2,5
20240301,02,8,4,3576,0.1571531377400739,0.047609194833542284,3,-0.07702917079013716,0,0.0,0.781659460889511,0.1748195290115176,0.04351785697250498,0.13442142975998755,7.0,2.0,1,42.4,1,3576,0,3.0,429496744.548,143165591.10233334,0.16,143165577.37833333,6.0,13.723999999999998,MAKURI,37.96,白水 勝也,2.0,0.32,31.2,56.93,19.6,3.0,6,6.8,60.7,1
20240301,02,8,5,4555,0.2467015637449135,0.1371576208383819,5,-0.07702917079013716,0,0.0,0.6690396054911144,0.18471703778896126,0.1462399330508855,0.003899085279492117,7.0,0.0,1,48.0,1,4555,0,0.0,13.723,143165591.10233334,0.21,143165577.37833333,6.0,13.723999999999998,MAKURI,35.09,富永 大一,0.0,0.16,27.2,43.86,2.5,1.0,4,6.86,30.7,2
20240301,02,8,6,3508,0.24684197950490497,0.13729803659837336,6,-0.07702917079013716,0,0.0,0.48299728220554816,0.44123643721424627,0.07576184812079699,0.0019887164481141367,7.0,0.0,1,48.41,1,3508,0,0.0,15.036,143165591.10233334,0.21,143165577.37833333,6.0,13.723999999999998,MAKURI,41.48,久富 政弘,0.0,0.25,32.54,51.11,0.0,0.0,5,7.02,12.9,6
20240301,02,9,1,4215,0.21910750052956293,0.112430754306165,6,-0.00596097602696713,1,0.9999974314258198,0.0,0.0,0.0,0.3683994749370705,7.0,0.0,1,47.11,1,4215,0,0.0,12.117999999999999,13.757,0.15,0.4503333333333348,5.0,13.306666666666665,SASHI,27.56,吉島 祥之,1.0,0.07,28.93,44.09,60.4,0.0,1,6.87,81.2,2
20240301,02,9,2,5012,0.10667674622339793,0.0,1,-0.00596097602696713,0,0.0,0.516350097764449,0.3121874829773684,0.17145963090309532,0.16022427580470072,7.0,5.0,1,53.28,1,5012,0,2.0,11.997,13.757,0.13,0.4503333333333348,5.0,13.306666666666665,SASHI,28.99,加倉 侑征,0.0,0.16,38.69,51.45,20.0,0.0,5,6.9,65.7,3
20240301,02,9,3,3505,0.13200644249210414,0.02532969626870621,2,-0.00596097602696713,0,0.0,0.5225601899569001,0.2721053054119239,0.20533181625217717,0.054837715016057456,7.0,1.0,1,52.67,1,3505,0,2.0,15.804999999999998,13.757,0.14,0.4503333333333348,5.0,13.306666666666665,SASHI,41.55,山田 竜一,0.0,0.15,34.35,54.23,10.2,1.0,4,6.94,48.7,5
20240301,02,9,4,4230,0.17249687866543706,0.06582013244203913,5,-0.00596097602696713,0,0.0,0.354849301099766,0.29058753727348013,0.35455931319491674,0.11713916635629386,7.0,0.0,1,65.65,1,4230,1,6.0,10.002,13.757,0.14,0.4503333333333348,5.0,13.306666666666665,SASHI,19.64,濱崎 直矢,0.0,0.08,44.27,37.5,29.2,6.0,2,6.92,60.9,4
20240301,02,9,5,3769,0.16369465417139883,0.05701790794800091,4,-0.00596097602696713,0,0.0,0.3513301615405043,0.3545146604483406,0.2941519837804692,0.00967387168257459,7.0,0.0,1,48.06,1,3769,0,0.0,14.294,13.757,0.2,0.4503333333333348,5.0,13.306666666666665,SASHI,37.24,佐竹 恒彦,0.0,0.09,30.23,49.66,0.0,0.0,3,6.95,30.3,6
20240301,02,9,6,5049,0.1394820844891305,0.032805338265732564,3,-0.00596097602696713,0,0.0,0.48179900949918364,0.20381126203849473,0.3143866230763739,0.01773161068847552,7.0,1.0,1,48.03,1,5049,0,0.0,16.975,13.757,0.18,0.4503333333333348,5.0,13.306666666666665,SASHI,45.03,松井 友汰,0.0,0.15,32.28,64.24,3.1,0.0,4,6.85,18.7,1
20240301,03,10,1,4371,0.09913851289654586,0.0,1,-0.06231141600478021,0,0.9999976475195816,0.0,0.0,0.0,0.5099470487910939,4.0,0.0,0,48.84,0,4371,0,0.0,15.579,143165591.69433334,0.12,143165575.94033334,5.0,15.754,MAKURI,37.11,西山 貴浩,6.0,0.04,35.47,54.12,69.0,0.0,2,6.91,95.7,5
20240301,03,10,2,4061,0.11616660674663329,0.017028093850087425,2,-0.06231141600478021,0,0.0,0.894573742360962,0.08765691641180164,0.017763693799936194,0.17183700959379017,4.0,8.0,0,53.04,0,4061,0,5.0,16.384999999999998,143165591.69433334,0.13,143165575.94033334,5.0,15.754,MAKURI,39.81,萩原 秀人,2.0,0.07,39.23,60.19,34.8,0.0,3,6.83,86.0,1
20240301,03,10,3,4769,0.16048623012851498,0.06134771723196912,4,-0.06231141600478021,0,0.0,0.7934623952489492,0.18746664047359618,0.01906551433157409,0.0857206865484216,4.0,1.0,0,51.1,0,4769,0,6.0,15.298,143165591.69433334,0.14,143165575.94033334,5.0,15.754,MAKURI,35.64,馬場 剛,2.0,0.01,33.52,55.85,29.2,3.0,1,6.9,78.0,4
20240301,03,10,4,4013,0.13372071196674631,0.03458219907020045,3,-0.06231141600478021,0,0.0,0.8368719565487407,0.12402020793995122,0.03910370725081302,0.04899709504455375,4.0,1.0,0,46.07,0,4013,0,3.0,16.693,143165591.69433334,0.13,143165575.94033334,5.0,15.754,MAKURI,41.85,中島 孝平,2.0,0.08,29.21,54.89,22.5,3.0,4,6.88,57.5,3
